,division,group,label,count
0,Biological Sciences,0602 Ecology,602,466
1,Earth Sciences,0403 Geology,403,305
2,Environmental Sciences, 0502 Environmental Science and Management,502,251
3,Earth Sciences,0406 Physical Geography and Environmental Geoscience,406,229
4,Engineering,0909 Geomatic Engineering,909,154
5,Chemical Sciences,0306 Physical Chemistry (incl. Structural),306,154
7,Earth Sciences,0405 Oceanography,405,126
9,Earth Sciences, 0402 Geochemistry,402,107
11,Biological Sciences, 06 Biological Sciences,6,90
13,Chemical Sciences, 03 Chemical Sciences,3,80
15,Engineering,0912 Materials Engineering,912,73
16,Environmental Sciences,0503 Soil Sciences,503,68
17,Engineering,09 Engineering,9,67
18,Biological Sciences,0605 Microbiology,605,67
19,Environmental Sciences, 0501 Ecological Applications,501,63
20,Earth Sciences,0401 Atmospheric Sciences,401,61
21,Physical Sciences,0201 Astronomical and Space Sciences,201,60
22,Engineering, 0907 Environmental Engineering,907,59
24,Economics,1402 Applied Economics,1402,52
25,Biological Sciences,0607 Plant Biology,607,51
27,Chemical Sciences,0302 Inorganic Chemistry,302,45
28,Earth Sciences, 0404 Geophysics,404,44
29,Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,801,44
30,Information and Computing Sciences,0806 Information Systems,806,42
32,Physical Sciences,02 Physical Sciences,2,42
33,Biological Sciences, 0608 Zoology,608,38
34,Physical Sciences,0299 Other Physical Sciences,299,37
37,Earth Sciences,04 Earth Sciences,4,34
39,Engineering,0915 Interdisciplinary Engineering,915,33
40,Engineering,0905 Civil Engineering,905,32
41,Environmental Sciences, 05 Environmental Sciences,5,30
42,Studies in Human Society,1604 Human Geography,1604,29
44,Biological Sciences,0604 Genetics,604,28
46,Biological Sciences,0601 Biochemistry and Cell Biology,601,27
48,Chemical Sciences, 0399 Other Chemical Sciences,399,25
49,Physical Sciences," 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",202,24
50,Psychology and Cognitive Sciences,1701 Psychology,1701,24
53,Biological Sciences, 0699 Other Biological Sciences,699,21
54,Medical and Health Sciences,1117 Public Health and Health Services,1117,21
55,Agricultural and Veterinary Sciences, 07 Agricultural and Veterinary Sciences,7,21
56,Chemical Sciences,0301 Analytical Chemistry,301,20
62,Chemical Sciences,0303 Macromolecular and Materials Chemistry,303,19
63,Biological Sciences, 0603 Evolutionary Biology,603,18
64,Technology, 1007 Nanotechnology,1007,18
65,Chemical Sciences,0307 Theoretical and Computational Chemistry,307,18
68,Mathematical Sciences,0104 Statistics,104,15
67,Studies in Human Society,1608 Sociology,1608,15
69,Agricultural and Veterinary Sciences, 0704 Fisheries Sciences,704,14
71,Mathematical Sciences, 01 Mathematical Sciences,1,14
72,Engineering, 0906 Electrical and Electronic Engineering,906,13
74,Agricultural and Veterinary Sciences,0705 Forestry Sciences,705,12
75,Engineering, 0904 Chemical Engineering,904,12
76,Studies in Human Society,1605 Policy and Administration,1605,12
77,Technology,1005 Communications Technologies,1005,12
78,Engineering,0914 Resources Engineering and Extractive Metallurgy,914,12
