,division,group,label,count
0,Biological Sciences, 06 Biological Sciences,6,1426
1,Earth Sciences,04 Earth Sciences,4,772
3,Environmental Sciences, 0502 Environmental Science and Management,502,647
4,Biological Sciences,0602 Ecology,602,598
5,Earth Sciences, 0403 Geology,403,566
6,Engineering,09 Engineering,9,486
7,Environmental Sciences, 05 Environmental Sciences,5,484
10,Earth Sciences,0406 Physical Geography and Environmental Geoscience,406,368
11,Engineering, 0909 Geomatic Engineering,909,323
12,Earth Sciences, 0405 Oceanography,405,270
13,Information and Computing Sciences,08 Information and Computing Sciences,8,233
15,Earth Sciences, 0402 Geochemistry,402,210
17,Agricultural and Veterinary Sciences, 07 Agricultural and Veterinary Sciences,7,173
18,Economics, 14 Economics,14,168
19,Engineering, 0907 Environmental Engineering,907,168
20,Biological Sciences,0604 Genetics,604,148
21,Earth Sciences, 0401 Atmospheric Sciences,401,146
22,Environmental Sciences, 0501 Ecological Applications,501,131
23,Earth Sciences, 0404 Geophysics,404,123
24,Information and Computing Sciences, 0801 Artificial Intelligence and Image Processing,801,114
25,Studies in Human Society, 16 Studies in Human Society,16,104
26,Biological Sciences, 0603 Evolutionary Biology,603,102
27,Biological Sciences,0605 Microbiology,605,102
28,Information and Computing Sciences, 0806 Information Systems,806,101
29,Chemical Sciences,03 Chemical Sciences,3,99
30,Biological Sciences,0607 Plant Biology,607,99
31,Medical and Health Sciences, 11 Medical and Health Sciences,11,88
32,Studies in Human Society, 1604 Human Geography,1604,88
33,Economics,1402 Applied Economics,1402,81
34,Environmental Sciences,0503 Soil Sciences,503,77
36,Engineering, 0905 Civil Engineering,905,73
38,Chemical Sciences, 0306 Physical Chemistry (incl. Structural),306,67
43,Medical and Health Sciences,1117 Public Health and Health Services,1117,53
44,Physical Sciences, 02 Physical Sciences,2,51
45,Chemical Sciences, 0399 Other Chemical Sciences,399,48
46,Built Environment and Design, 1205 Urban and Regional Planning,1205,46
48,Biological Sciences, 0699 Other Biological Sciences,699,44
50,Built Environment and Design, 12 Built Environment and Design,12,41
51,Biological Sciences, 0608 Zoology,608,39
