,division,group,label,count
0,Earth Sciences, 0405 Oceanography,405,19
1,Earth Sciences,04 Earth Sciences,4,16
2,Biological Sciences, 06 Biological Sciences,6,8
4,Biological Sciences, 0602 Ecology,602,4
6,Earth Sciences, 0404 Geophysics,404,3
12,Engineering, 0909 Geomatic Engineering,909,2
11,Biological Sciences,0604 Genetics,604,2
10,Engineering,09 Engineering,9,2
9,Earth Sciences, 0406 Physical Geography and Environmental Geoscience,406,2
8,Environmental Sciences,05 Environmental Sciences,5,2
7,Environmental Sciences, 0502 Environmental Science and Management,502,2
13,Medical and Health Sciences,11 Medical and Health Sciences,11,1
14,Engineering,0915 Interdisciplinary Engineering,915,1
15,Biological Sciences,0607 Plant Biology,607,1
19,Agricultural and Veterinary Sciences, 07 Agricultural and Veterinary Sciences,7,1
