,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Stacia M Gordon. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
10,100,pub.1092025028,10.1130/l655.1,,,"Distributed north-vergent shear and flattening through Greater and Tethyan Himalayan rocks: Insights from metamorphic and strain data from the Dang Chu region, central Bhutan",Литосфера,,,10/1/17,2017,9,5,774-795,All OA; Gold,Article,"Long, Sean P.; Gordon, Stacia M.; Soignard, Emmanuel",,"Long, Sean P. (Washington State University); Gordon, Stacia M. (University of Nevada Reno); Soignard, Emmanuel (Arizona State University)",5,5,,1.82,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/9/5/774/3712218/774.pdf,https://app.dimensions.ai/details/publication/pub.1092025028,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1091444598,10.1130/g39296.1,,,"Rapid time scale of Earth’s youngest known ultrahigh-pressure metamorphic event, Papua New Guinea",Geology,,,9/1/17,2017,45,9,795-798,Closed,Article,"DesOrmeau, Joel W.; Gordon, Stacia M.; Little, Timothy A.; Bowring, Samuel A.; Chatterjee, Nilanjan",,"DesOrmeau, Joel W. (University of Nevada Reno); Gordon, Stacia M. (University of Nevada Reno); Little, Timothy A. (Victoria University of Wellington); Bowring, Samuel A. (Massachusetts Institute of Technology); Chatterjee, Nilanjan (Massachusetts Institute of Technology)",6,6,,2.19,,https://app.dimensions.ai/details/publication/pub.1091444598,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,200,pub.1103363064,10.1130/2017.0049(06),,,Incorporation of sedimentary rocks into the deep levels of continental magmatic arcs: Links between the North Cascades arc and surrounding sedimentary terranes,,From the Puget Lowland to East of the Cascade Range<subtitle>Geologic Excursions in the Pacific Northwest</subtitle>,,2017,2017,,,,Closed,Chapter,"Gordon, Stacia M.; Miller, Robert B.; Sauer, Kirsten B.",,"Gordon, Stacia M. (); Miller, Robert B. (); Sauer, Kirsten B. ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1103363064,,,,,,
13,200,pub.1099587897,10.1130/abs/2017am-302665,,,CONTRIBUTION OF METASEDIMENTARY ROCKS TO SMALL SCALE MELTS WITHIN THE DEEP LEVELS OF CONTINENTAL ARCS: INSIGHT FROM THE SWAKANE AND SKAGIT METASEDIMENTARY ROCKS AND ASSOCIATED MELT GENERATIONS,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Gordon, Stacia M.; Sauer, Kirsten B.; Miller, Robert B.; Vervoort, Jeff D.; Fisher, Christopher M.",,"Gordon, Stacia M. (); Sauer, Kirsten B. (); Miller, Robert B. (); Vervoort, Jeff D. (); Fisher, Christopher M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587897,,,,,,
14,200,pub.1099587779,10.1130/abs/2017am-303641,,,INCORPORATION OF METASEDIMENTARY UNITS INTO THE DEEPEST EXPOSED LEVELS OF THE NORTH CASCADES CONTINENTAL ARC: COMPARISON OF THE SKAGIT AND SWAKANE GNEISSES,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Sauer, Kirsten B.; Gordon, Stacia M.; Miller, Robert B.; Vervoort, Jeffrey; Fisher, Christopher M.",,"Sauer, Kirsten B. (); Gordon, Stacia M. (); Miller, Robert B. (); Vervoort, Jeffrey (); Fisher, Christopher M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587779,,,,,,
15,200,pub.1099587726,10.1130/abs/2017am-306954,,,TIMING OF METAMORPHISM IN THE MAIN CENTRAL THRUST ZONE IN SOUTH-CENTRAL BHUTAN: INSIGHTS FROM PRELIMINARY GARNET AND MONAZITE GEOCHRONOLOGY,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Pianowski, Laura S.; Vervoort, Jeff D.; Long, Sean P.; Gordon, Stacia M.",,"Pianowski, Laura S. (); Vervoort, Jeff D. (); Long, Sean P. (); Gordon, Stacia M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587726,,,,,,
16,200,pub.1099587714,10.1130/abs/2017am-297707,,,USING QUARTZ PETROFABRIC INTENSITY PARAMETERS TO DELINEATE SHEAR ZONES: A CASE STUDY FROM THE MAIN CENTRAL THRUST IN WESTERN BHUTAN,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Starnes, Jesslyn K.; Long, Sean P.; Zhang, Jingyi; Gordon, Stacia M.",,"Starnes, Jesslyn K. (); Long, Sean P. (); Zhang, Jingyi (); Gordon, Stacia M. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1099587714,,,,,,
17,200,pub.1099587357,10.1130/abs/2017am-301512,,,TEMPERATURE AND STRAIN GRADIENTS ACROSS THE MAIN CENTRAL THRUST IN SOUTH-CENTRAL BHUTAN: IMPLICATIONS FOR THE ORIGIN OF INVERTED METAMORPHISM AND THE CONTRIBUTION OF TRANSPORT-PARALLEL STRETCHING TO CUMULATIVE MASS TRANSFER,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Long, Sean P.; Gordon, Stacia; Young, John P.; Soignard, Emmanuel",,"Long, Sean P. (); Gordon, Stacia (); Young, John P. (); Soignard, Emmanuel ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587357,,,,,,
18,200,pub.1099587262,10.1130/abs/2017am-301530,,,"LARGE-SCALE, DISTRIBUTED STRUCTURAL THINNING IN THE HIMALAYAN OROGEN: A CASE STUDY FROM CENTRAL BHUTAN",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Long, Sean P.; Gordon, Stacia; Soignard, Emmanuel",,"Long, Sean P. (); Gordon, Stacia (); Soignard, Emmanuel ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587262,,,,,,
19,100,pub.1048408607,10.1111/jmg.12197,,,Pressure–temperature–structural distance relationships within Greater Himalayan rocks in eastern Bhutan: implications for emplacement models,Journal of Metamorphic Geology,,,2016-09,2016,34,7,641-662,Closed,Article,"Agustsson, K. S.; Gordon, S. M.; Long, S. P.; Seward, G. G. E.; Zeiger, K.; Penfold, M.",,"Agustsson, K. S. (University of Nevada Reno); Gordon, S. M. (University of Nevada Reno); Long, S. P. (University of Nevada Reno); Seward, G. G. E. (University of California, Santa Barbara); Zeiger, K. (University of Nevada Reno); Penfold, M. (University of Nevada Reno)",5,4,,1.29,,https://app.dimensions.ai/details/publication/pub.1048408607,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,100,pub.1038135463,10.1002/2016tc004242,,,"Temperature and strain gradients through Lesser Himalayan rocks and across the Main Central thrust, south central Bhutan: Implications for transport‐parallel stretching and inverted metamorphism",Tectonics,,,2016-08,2016,35,8,1863-1891,All OA; Gold,Article,"Long, Sean P.; Gordon, Stacia M.; Young, John P.; Soignard, Emmanuel",,"Long, Sean P. (Washington State University); Gordon, Stacia M. (University of Nevada Reno); Young, John P. (Washington State University); Soignard, Emmanuel (Arizona State University)",13,9,,3.36,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016TC004242,https://app.dimensions.ai/details/publication/pub.1038135463,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1062735678,10.1130/ges01262.1,,,"Linking deep and shallow crustal processes during regional transtension in an exhumed continental arc, North Cascades, northwestern Cordillera (USA)",Geosphere,,,2016-06,2016,12,3,900-924,All OA; Gold,Article,"Miller, Robert B.; Gordon, Stacia M.; Bowring, Samuel; Doran, Brigid; McLean, Noah; Michels, Zachary; Shea, Erin; Whitney, Donna L.",,"Miller, Robert B. (San Jose State University); Gordon, Stacia M. (University of Nevada Reno); Bowring, Samuel (Massachusetts Institute of Technology); Doran, Brigid (San Jose State University); McLean, Noah (Massachusetts Institute of Technology); Michels, Zachary (San Jose State University); Shea, Erin (San Jose State University); Whitney, Donna L. (University of Minnesota)",5,2,,1.29,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/12/3/900/4092675/900.pdf,https://app.dimensions.ai/details/publication/pub.1062735678,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,100,pub.1010513380,10.1016/j.lithos.2015.11.036,,,Geochronology and geochemistry of zircon from the northern Western Gneiss Region: Insights into the Caledonian tectonic history of western Norway,Lithos,,,2016-03,2016,246,,134-148,All OA; Gold,Article,"Gordon, Stacia M.; Whitney, Donna L.; Teyssier, Christian; Fossen, Haakon; Kylander-Clark, Andrew","Gordon, Stacia M.","Gordon, Stacia M. (University of Nevada Reno); Whitney, Donna L. (University of Minnesota); Teyssier, Christian (University of Minnesota); Fossen, Haakon (University of Bergen); Kylander-Clark, Andrew (University of California, Santa Barbara)",3,2,,0.78,https://manuscript.elsevier.com/S0024493715004429/pdf/S0024493715004429.pdf,https://app.dimensions.ai/details/publication/pub.1010513380,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,200,pub.1108095558,10.1130/abs/2016am-285232,,,"EXHUMATION AND COOLING HISTORY OF GREATER HIMALAYAN ROCKS IN THE EASTERN HIMALAYA: A U-PB AND
                    40
                    AR/
                    39
                    AR THERMOCHRONOLOGY STUDY FROM CENTRAL AND EASTERN BHUTAN",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Zamora, Carolina L.; Gordon, Stacia M.; Long, Sean P.; Kylander-Clark, Andrew R.C.; McDonald, C.S.",,"Zamora, Carolina L. (); Gordon, Stacia M. (); Long, Sean P. (); Kylander-Clark, Andrew R.C. (); McDonald, C.S. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108095558,,,,,,
24,200,pub.1108094692,10.1130/abs/2016am-282159,,,THE ULTIMATE FATE OF CONTINENTAL CRUST IS TO MELT – GEOLOGIC RECORD AT HIGH AND ULTRAHIGH PRESSURE,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Teyssier, Christian; Whitney, Donna L.; Rey, Patrice F.; Gordon, Stacia M.; Korchinski, Megan",,"Teyssier, Christian (); Whitney, Donna L. (); Rey, Patrice F. (); Gordon, Stacia M. (); Korchinski, Megan ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108094692,,,,,,
25,200,pub.1108090307,10.1130/abs/2016cd-274527,,,"U-PB AND HF ISOTOPE SIGNATURE OF DETRITAL ZIRCONS FROM THE SWAKANE GNEISS OF THE NORTH CASCADES, WASHINGTON: IMPLICATIONS FOR RAPID BURIAL AND MARGIN-PARALLEL TRANSLATION",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Sauer, Kirsten B.; Gordon, Stacia M.; Miller, Robert B.; Vervoort, Jeffrey D.; Fisher, Christopher M.",,"Sauer, Kirsten B. (); Gordon, Stacia M. (); Miller, Robert B. (); Vervoort, Jeffrey D. (); Fisher, Christopher M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108090307,,,,,,
26,100,pub.1042543017,10.1016/j.chemgeo.2015.08.004,,,"Insights into (U)HP metamorphism of the Western Gneiss Region, Norway: A high-spatial resolution and high-precision zircon study",Chemical Geology,,,2015-10,2015,414,Terra Nova 3 1991,138-155,All OA; Gold,Article,"DesOrmeau, Joel W.; Gordon, Stacia M.; Kylander-Clark, Andrew R.C.; Hacker, Bradley R.; Bowring, Samuel A.; Schoene, Blair; Samperton, Kyle M.","DesOrmeau, Joel W.","DesOrmeau, Joel W. (University of Nevada Reno); Gordon, Stacia M. (University of Nevada Reno); Kylander-Clark, Andrew R.C. (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara); Bowring, Samuel A. (Massachusetts Institute of Technology); Schoene, Blair (Princeton University); Samperton, Kyle M. (Princeton University)",17,11,,3.08,https://manuscript.elsevier.com/S0009254115300024/pdf/S0009254115300024.pdf,https://app.dimensions.ai/details/publication/pub.1042543017,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
27,100,pub.1002822143,10.1007/s00410-015-1143-6,,,"Timing and conditions of metamorphism and melt crystallization in Greater Himalayan rocks, eastern and central Bhutan: insight from U–Pb zircon and monazite geochronology and trace-element analyses",Contributions to Mineralogy and Petrology,,,2015-05,2015,169,5,47,Closed,Article,"Zeiger, K.; Gordon, S. M.; Long, S. P.; Kylander-Clark, A. R. C.; Agustsson, K.; Penfold, M.","Gordon, S. M.","Zeiger, K. (University of Nevada Reno); Gordon, S. M. (University of Nevada Reno); Long, S. P. (University of Nevada Reno); Kylander-Clark, A. R. C. (University of California, Santa Barbara); Agustsson, K. (University of Nevada Reno); Penfold, M. (University of Nevada Reno)",16,7,,3.2,,https://app.dimensions.ai/details/publication/pub.1002822143,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1010484485,10.1016/j.jsg.2014.09.012,,,"Fabric development during exhumation from ultrahigh-pressure in an eclogite-bearing shear zone, Western Gneiss Region, Norway",Journal of Structural Geology,,,2015-02,2015,71,J. Struct. Geol. 19 1997,58-70,Closed,Article,"Renedo, Roxanne N.; Nachlas, William O.; Whitney, Donna L.; Teyssier, Christian; Piazolo, Sandra; Gordon, Stacia M.; Fossen, Haakon","Renedo, Roxanne N.","Renedo, Roxanne N. (University of Minnesota); Nachlas, William O. (University of Minnesota); Whitney, Donna L. (University of Minnesota); Teyssier, Christian (University of Minnesota); Piazolo, Sandra (Macquarie University); Gordon, Stacia M. (University of Nevada Reno); Fossen, Haakon (University of Bergen)",11,3,,2.2,,https://app.dimensions.ai/details/publication/pub.1010484485,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1035724353,10.1002/2014gc005396,,,"Tracking the exhumation of a Pliocene (U)HP terrane: U‐Pb and trace‐element constraints from zircon, D'Entrecasteaux Islands, Papua New Guinea",Geochemistry Geophysics Geosystems,,,2014-10,2014,15,10,3945-3964,All OA; Gold,Article,"DesOrmeau, Joel W.; Gordon, Stacia M.; Little, Timothy A.; Bowring, Samuel A.",,"DesOrmeau, Joel W. (University of Nevada Reno); Gordon, Stacia M. (University of Nevada Reno); Little, Timothy A. (Victoria University of Wellington); Bowring, Samuel A. (Massachusetts Institute of Technology)",5,2,,0.83,http://onlinelibrary.wiley.com/doi/10.1002/2014GC005396/pdf,https://app.dimensions.ai/details/publication/pub.1035724353,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1014047589,10.1016/j.lithos.2013.02.003,,,"U–Pb dates and trace-element geochemistry of zircon from migmatite, Western Gneiss Region, Norway: Significance for history of partial melting in continental subduction",Lithos,,,2013-06,2013,170,Contributions to Mineralogy and Petrology 152 2006,35-53,Closed,Article,"Gordon, Stacia M.; Whitney, Donna L.; Teyssier, Christian; Fossen, Haakon","Gordon, Stacia M.","Gordon, Stacia M. (University of Nevada Reno); Whitney, Donna L. (University of Minnesota); Teyssier, Christian (University of Minnesota); Fossen, Haakon (University of Bergen)",44,14,,6.23,,https://app.dimensions.ai/details/publication/pub.1014047589,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
31,100,pub.1033778238,10.1002/jgrb.50139,,,Tectonic development of the Samail ophiolite: High‐precision U‐Pb zircon geochronology and Sm‐Nd isotopic constraints on crustal growth and emplacement,Journal of Geophysical Research Solid Earth,,,2013-05,2013,118,5,2085-2101,All OA; Gold,Article,"Rioux, Matthew; Bowring, Samuel; Kelemen, Peter; Gordon, Stacia; Miller, Robert; Dudás, Frank",,"Rioux, Matthew (Massachusetts Institute of Technology; University of California, Santa Barbara); Bowring, Samuel (Massachusetts Institute of Technology); Kelemen, Peter (Columbia University); Gordon, Stacia (University of Nevada Reno); Miller, Robert (San Jose State University); Dudás, Frank (Massachusetts Institute of Technology)",65,29,,9.73,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrb.50139,https://app.dimensions.ai/details/publication/pub.1033778238,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,100,pub.1014194962,10.1016/j.epsl.2012.07.014,,,"Multi-stage exhumation of young UHP–HP rocks: Timescales of melt crystallization in the D’Entrecasteaux Islands, southeastern Papua New Guinea",Earth and Planetary Science Letters,,,2012-10,2012,351,Nature 418 2002,237-246,Closed,Article,"Gordon, S.M.; Little, T.A.; Hacker, B.R.; Bowring, S.A.; Korchinski, M.; Baldwin, S.L.; Kylander-Clark, A.R.C.","Gordon, S.M.","Gordon, S.M. (University of Nevada Reno); Little, T.A. (Victoria University of Wellington); Hacker, B.R. (University of California, Santa Barbara); Bowring, S.A. (Massachusetts Institute of Technology); Korchinski, M. (Victoria University of Wellington); Baldwin, S.L. (Syracuse University); Kylander-Clark, A.R.C. (University of California, Santa Barbara)",45,10,,7.41,,https://app.dimensions.ai/details/publication/pub.1014194962,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
33,100,pub.1045167788,10.1029/2012jb009273,,,Rapid crustal accretion and magma assimilation in the Oman‐U.A.E. ophiolite: High precision U‐Pb zircon geochronology of the gabbroic crust,Journal of Geophysical Research,,,2012-07,2012,117,B7,n/a-n/a,All OA; Gold,Article,"Rioux, Matthew; Bowring, Samuel; Kelemen, Peter; Gordon, Stacia; Dudás, Frank; Miller, Robert",,"Rioux, Matthew (Massachusetts Institute of Technology); Bowring, Samuel (Massachusetts Institute of Technology); Kelemen, Peter (Lamont-Doherty Earth Observatory); Gordon, Stacia (University of Nevada Reno); Dudás, Frank (Massachusetts Institute of Technology); Miller, Robert (San Jose State University)",58,15,,9.55,http://onlinelibrary.wiley.com/doi/10.1029/2012JB009273/pdf,https://app.dimensions.ai/details/publication/pub.1045167788,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
34,100,pub.1043970034,10.1111/j.1525-1314.2012.00973.x,,,The thermal structure of continental crust in active orogens: insight from Miocene eclogite and granulite xenoliths of the Pamir Mountains,Journal of Metamorphic Geology,,,2012-05,2012,30,4,413-434,Closed,Article,"GORDON, S. M.; LUFFI, P.; HACKER, B.; VALLEY, J.; SPICUZZA, M.; KOZDON, R.; KELEMEN, P.; RATSHBACHER, L.; MINAEV, V.",,"GORDON, S. M. (University of California, Santa Barbara); LUFFI, P. (Rice University); HACKER, B. (University of California, Santa Barbara); VALLEY, J. (University of Wisconsin–Madison); SPICUZZA, M. (University of Wisconsin–Madison); KOZDON, R. (University of Wisconsin–Madison); KELEMEN, P. (Lamont-Doherty Earth Observatory); RATSHBACHER, L. (Freiberg University Of Mining And Technology); MINAEV, V. (Academy of Sciences of the Republic of Tajikistan)",27,5,,4.44,,https://app.dimensions.ai/details/publication/pub.1043970034,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1003665595,10.1016/j.tecto.2011.06.006,,,"Diapiric exhumation of Earth's youngest (UHP) eclogites in the gneiss domes of the D'Entrecasteaux Islands, Papua New Guinea",Tectonophysics,,,2011-09,2011,510,2-Jan,39-68,Closed,Article,"Little, T.A.; Hacker, B.R.; Gordon, S.M.; Baldwin, S.L.; Fitzgerald, P.G.; Ellis, S.; Korchinski, M.","Little, T.A.","Little, T.A. (Victoria University of Wellington); Hacker, B.R. (); Gordon, S.M. (University of Nevada Reno); Baldwin, S.L. (Syracuse University); Fitzgerald, P.G. (Syracuse University); Ellis, S. (GNS Science); Korchinski, M. (Victoria University of Wellington)",101,30,,12.53,,https://app.dimensions.ai/details/publication/pub.1003665595,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
